,Movie Name,Movie Year,Movie url,Genre,Runtime,Box Office,Critic Ratings,Audience Ratings
124,Memento,2000,http://www.rottentomatoes.com/m/13052,mysteryandthriller,1h 56m,25.5M,93,94
125,The Sting,1973,http://www.rottentomatoes.com/m/22491,"drama,comedy",2h 9m,Not available!,94,95
126,Terminator 2: Judgment Day,1991,http://www.rottentomatoes.com/m/14016,"scifi,action",2h 16m,552.8K,93,94
127,Gone With the Wind,1939,http://www.rottentomatoes.com/m/9818,"romance,history,drama",3h 42m,198.7M,91,92
128,Yi Yi,2000,The url does not exist!,"romance,history,drama",3h 42m,198.7M,91,92
129,Grave of the Fireflies,1988,http://www.rottentomatoes.com/m/21313,"war,drama,anime",1h 28m,Not available!,100,95
130,La Strada,1954,http://www.rottentomatoes.com/m/19332,drama,1h 55m,Not available!,97,93
131,L.A. Confidential,1997,http://www.rottentomatoes.com/m/12956,"drama,crime",2h 16m,64.6M,99,94
132,American Beauty,1999,http://www.rottentomatoes.com/m/12878,"drama,comedy",2h 2m,130.1M,87,93
133,Umberto D.,1952,http://www.rottentomatoes.com/m/19664,drama,1h 31m,74.3K,97,93
134,2001: A Space Odyssey,1968,http://www.rottentomatoes.com/m/9917,scifi,2h 19m,1.3M,92,89
135,The Night of the Hunter,1955,http://www.rottentomatoes.com/m/18249,mysteryandthriller,1h 32m,Not available!,99,90
136,Aliens,1986,http://www.rottentomatoes.com/m/13240,"scifi,action,horror",2h 17m,77.6M,97,94
137,The Shop Around the Corner,1940,http://www.rottentomatoes.com/m/18285,romance,1h 37m,Not available!,100,91
138,The Matrix,1999,http://www.rottentomatoes.com/m/12897,"action,scifi",2h 16m,171.4M,88,85
139,Unforgiven,1992,http://www.rottentomatoes.com/m/13014,western,2h 10m,100.0M,96,93
140,The Great Escape,1963,http://www.rottentomatoes.com/m/17025,"war,drama",2h 52m,Not available!,94,95
141,To Kill a Mockingbird,1962,http://www.rottentomatoes.com/m/17873,drama,2h 9m,Not available!,92,92
142,Fight Club,1999,http://www.rottentomatoes.com/m/13153,"mysteryandthriller,drama",2h 19m,37.0M,79,96
143,8½,1963,http://www.rottentomatoes.com/m/18384,fantasy,2h 15m,50.7K,98,92
